Associate Producer,60000,male,4
Editor  Copy editor ,60000,female,3
Reporter editor,60000,female,3
Sex & Relationships Editor,60000,female,3
Social Media Editor,60000,female,3
Assistant Marketing Manager,60000,female,3
Digital producer,60000,female,3
Reporter,60000,female,3
Associate Editor,60000,female,3
Reporter,60000,male,3
Reporter,60000,male,3
Breaking news reporter,60000,female,3
Reporter,60000,female,3
Reporter,60000,male,2.5
Copy Editor,60000,female,2
Associate Editor,60000,female,2
Graphic Designer,60000,female,2
Associate Producer,60000,female,2
Investigative Reporter,60000,female,2
Director of Content,60000,male,2
Reporter,60000,female,2
Data Journalist,60000,female,2
Associate Editor,60000,female,2
Staff Writer,60000,female,2
Producer,60000,female,2
Associate Editor,60000,female,2
Editor,60000,male,2
Associate Editor,60000,male,1.5
Digital Designer,60000,female,1.5
Content Partnerships Coordinator,60000,female,1.5
Associate Editor,60000,male,1
Assignment Editor,60000,female,1
Social Media Coordinator,60000,female,1
social designer,60000,male,1
Writer,60000,female,0
Publicity Manager,60400,female,3
Copy editor and page designer,60480,female,2
Associate Analyst,60500,female,25
Assistant Editor,60500,female,6
Marketing Solutions Strategist,60500,female,3
Correspondent,61000,female,10
Senior Editor,61000,female,10
Senior Fashion Editor,61000,female,9
Senior Publicist,61000,female,6
Editor,61000,female,6
Reporter,61170,male,13
Audience Engagement Editor,61400,male,18
Reporter,61700,female,5
Staff Reporter,61800,male,18
Investigative Reporter,62000,male,22
Photo Editor,62000,female,21
beat reporter,62000,female,15
Designer,62000,female,14
Digital Investment Specialist,62000,female,14
Producer,62000,male,10
Production Assistant,62000,male,9
Associate Producer,62000,female,9
Staff Writer,62000,male,8
Reporter,62000,female,5
Photo editor,62000,male,5
Production Manager,62000,male,5
Writer,62000,male,5
Digital photo editor,62000,female,5
Assistant Editor,62000,female,4.5
Assignment Editor,62000,female,4
Deputy Editor,62000,female,4
staff writer,62000,female,3
Multi-media Journalist,62000,female,3
Audio Producer,62000,female,3
Reporter,62000,male,3
Reporter,62000,female,2
Video Production Manager,62000,male,2
Senior reporter Editor,62000,female,2
Associate Producer,62400,female,8
Associate Entertainment Editor,62500,female,8
Staff Writer,62500,male,7
Social Media Editor,62500,female,4.5
Publisher,62500,male,4
Producer,63000,female,24
Writer,63000,female,20
Reporter,63000,male,14
Platform Editor,63000,female,9
Section editor,63000,female,8
Social News Producer,63000,female,7
Associate Producer,63000,female,6
Reporter,63000,male,5
Associate Editor,63000,female,4
Senior Editor,63000,female,4
Associate Producer,63000,female,4
Editor-in-Chief,63000,male,4
Online Content Manager,63000,female,3
Editor,63000,female,3
Associate Editor  commerce ,63000,female,3
Reporter ,63000,female,3
Digital Producer,63000,male,3
News editor,63000,female,2
Associate Producer,63080,female,9
Audience Engagement,63300,female,5
Associate Producer Animation,63700,female,5
Reporter,63750,female,4
Criminal Justice Reporter,63800,female,3
Staff writer editor,64000,female,25
Social Media Editor,64000,male,20
Editor Writer,64000,male,15
Writer,64000,male,15
Staff Writer,64000,female,10
social media editor,64000,female,10
Associate Producer ,64000,female,10
Reporter,64000,male,9
Audience Engagement Editor,64000,female,9
Associate digital editor,64000,female,5
Reporter   Producer,64000,female,4
Producer,64000,female,3
Reporter,64000,female,3
Communications & Marketing Manager,64000,female,3
Production Specialist,64000,female,2
Executive editor,64000,female,2
Associate Producer,64200,male,8
Senior Reporter,64200,male,8
Reporter,64250,female,9
General Assignment Reporter,64668,female,9
General assignment reporter,64872,female,9
Managing Editor,65000,male,17
Associate Editor,65000,female,15
Editor Snapchat,65000,female,15
